R1C1,R1C2,R1C3,R1C4,R1C5,,,,,,,,,,R1C1,R1C2,R1C3,R1C4,R1C5,
133,6.4,3.8,6.4,2,Iris-virginica,,,,,,,,,,,,,,
134,6.3,2.8,5.6,2.2,Iris-virginica,,,,,,,,,,,,,,
135,6.1,2.8,5.1,1.5,Iris-virginica,,,,,,,,,,,,,,
136,7.7,2.6,5.6,1.4,Iris-virginica,,,,,,,,,,,,,,
137,6.3,3,6.1,2.3,Iris-virginica,,,,,,,,,,,,,,
138,6.4,3.4,5.6,2.4,Iris-virginica,,,,,,,,,,,,,,
139,6,3.1,5.5,1.8,Iris-virginica,,,,,,,,,,,,,,
140,6.9,3,4.8,1.8,Iris-virginica,,,,,,,,,,,,,,
141,6.7,3.1,5.4,2.1,Iris-virginica,,,,,,,,,,,,,,
142,6.9,3.1,5.6,2.4,Iris-virginica,,,,,,,,,,,,,,
143,5.8,3.1,5.1,2.3,Iris-virginica,,,,,,,,,,,,,,
144,6.8,2.7,5.1,1.9,Iris-virginica,,,,,,,,,,,,,,
145,6.7,3.2,5.9,2.3,Iris-virginica,,,,,,,,,,,,,,
146,6.7,3.3,5.7,2.5,Iris-virginica,,,,,,,,,,,,,,
147,6.3,3,5.2,2.3,Iris-virginica,,,,,,,,,,,,,,
148,6.5,2.5,5,1.9,Iris-virginica,,,,,,,,,,,,,,
149,6.2,3,5.2,2,Iris-virginica,,,,,,,,,,,,,,
150,5.9,3.4,5.4,2.3,Iris-virginica fffffffffffffffffffffffffffffffffffffffffffffff,,,,,,,,,,,,,,
,,3,5.1,1.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
hello,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
155th table,,,,,,,,,,,,,,,,,,,
Column1,Column2,,,,,,,,,,,,,,,,,,
155,x,Column3,Column4,Column5,,,,,,,,0,,0,0,,,,
155,x,1,:=,155,,,,,,,,,,,,,,,
155,x,2,:=,310,0,155,155,155,155,,310,,,,,,,,
155,x,3,:=,465,,,,,,,0,,,,,,,,
155,x,4,:=,620,,,,22,22,,44,,,,,,,,
155,x,5,:=,775,,,,,,,,,,,,,,,
155,x,6,:=,930,,,,,,,,,,,,,,,
155,x,7,:=,1085,,,#VALUE!,,,,,,,,,,,,
155,x,8,:=,1240,,,,,,,,,,,,,,,
155,x,9,:=,1395,,,,,,,,,,,,,,,
155,x,10,:=,1550,,absolute+mixed+relative,,,,,,,,,,,,,
155,x,11,:=,1705,,,,,,,,,,,,,,,
155,x,12,:=,1860,,,2,4,0,,,,,,,,,,
155,x,13,:=,2015,,,,,0,,,,,,,,,,
155,x,14,:=,2170,,,,,0,,,,,,,,,,
155,x,15,:=,2325,,,,,0,,,,,,,,,,
155,x,16,:=,2480,,,2,3,5,,,,,,,,,,
155,x,17,:=,2635,,,,,0,,,,,,,,,,
155,x,18,:=,2790,,,,,0,,,,,,,,,,
155,x,19,:=,2945,,,,,0,,,,,,,,,,
155,x,20,:=,3100,,,,,0,,,,,,,,,,
155,x,21,:=,3255,,,,,0,,,,,,,,,,
155,x,22,:=,3410,,,,,0,,,,,,,,,,
155,x,23,:=,3565,,,,,,,,,,,,,,,
155,x,24,:=,3720,,,,,,,,,,,,,,,
,,25,:=,3875,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ctrl+E,,,,,
,,,,,weekdays,months,odd,even,prime,squares,custom country,custom hostlers,no(flashfill),flashfill,text(flashfill),,,,
,,1,,,Monday,jan,1,0,2,2,india,jaya,65,q-65,q,,,,
,,2,,,Tuesday,feb,3,2,3,4,usa,sumi,68,qw-68,qw,,,,
,,3,,,Wednesday,mar,5,4,5,16,uk,satya,90,qwe-90,qwe,,,,
,,4,,,Thursday,apr,7,6,7,256,australia,vignesh,56,qwer-56,qwer,,,,
,,5,,,Friday,may,9,8,11,65536,germany,kaushik,34,qwert-34,qwert,,,,
,,6,,,Saturday,jun,11,10,13,4294967296,france,kissan,13,qwerty-13,qwerty,,,,
,,7,,,Sunday,jul,13,12,14.93333333,1.84E+19,iran,jaya,78,qwertyu-78,qwertyu,,,,
,,8,,,,aug,15,14,17.24761905,,pakistan,sumi,89,z-89,z,,,,
,,9,,,,sep,17,16,19.56190476,,srilanka,satya,88,zx-88,zx,,,,
,,10,,,,oct,19,18,,,west indies,,87,zxc-87,zxc,,,,
,,11,,,,nov,21,20,,,,,84,zxcv-84,zxcv,,,,
,,12,,,,dec,23,,,,,,45,zxcvb-45,zxcvb,,,,
,,13,,,,,25,24,,,,,90,zxcvbn-90,zxcvbn,,,,
,,14,,,,,27,26,,,,,78,zxcvbnm-78,zxcvbnm,,,,
,,15,,,,,29,28,,,,,,,,,,,
,,16,,,,,31,30,,,,,,,,,,,
,,17,,,,,33,32,,,,,,,,,,,
,,18,,,,,35,34,,,,,,,,,,,
,,19,,,,,37,36,,,,,,,,,,,
,,20,,,,,39,38,,,,,,,,,,2,
,,21,,,,,41,40,,,path,,,,,,,,
,,22,,,,,,,,,options,,,,,,? 2.00,,
,,23,,,,,,,,,|,,,,,,? 3.00,,
,,24,,,,,,,,,advanced,,,,,shhhh,? 4.00,,
,,25,,,,,,,,,|,,,,,,? 5.00,,
,,26,,,,,,,,,general section,,,,,,,,
,,27,,,,,,,,,|,,,,,,,,
,,28,,,,,,,,,edit custom list,,,,,,,,
,,29,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,
,,32,,,,,,,,,,,,,,,,,
,,33,,,,,,,,,,,,,,,,,
,,34,,,,,,,,,,,,,,,,,
,,35,,,,,,,,,,,,,,,,,
,,36,,,,,,,,,,,,,,,,,
,,37,,,,,,,,,,,,,,,,,
,,38,,,,,,,,,,,,,,,,,
,,39,,,,,,,,,,,,,,,,,
,,40,,,,,,,,,,,,,,,,,
,,41,,,,,,,,,,,,,,,,,
,,42,,,,,,,,,,,,,,,,,
,,43,,,,,,,,,,,,,,,,,
,,44,,,,,,,,,,,,,,,,,
,,45,,,,,,,,,,,,,,,,,
,,46,,,,,,,,,,,,,,,,,
,,47,,,,,,,,,,,,,,,,,
,,48,,,,,,,,,,,,,,,,,
,,49,,,,,,,,,,,,,,,,,
,,50,,,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,,,,,
,,52,,,,,,,,,,,,,,,,,
,,53,,,,,,,,,,,,,,,,,
,,54,,,,,,,,,,,,,,,,,
,,55,,,,,,,,,,,,,,,,,
,,56,,,,,,,,,,,,,,,,,
,,57,,,,,,,,,,,,,,,,,
,,58,,,,,,,,,,,,,,,,,
,,59,,,,,,,,,,,,,,,,,
,,60,,,,,,,,,,,,,,,,,
,,61,,,,,,,,,,,,,,,,,
,,62,,,,,,,,,,,,,,,,,
,,63,,,,,,,,,,,,,,,,,
,,64,,,,,,,,,,,,,,,,,
,,65,,,,,,,,,,,,,,,,,
,,66,,,,,,,,,,,,,,,,,
,,67,,,,,,,,,,,,,,,,,
,,68,,,,,,,,,,,,,,,,,
,,69,,,,,,,,,,,,,,,,,
,,70,,,,,,,,,,,,,,,,,
,,71,,,,,,,,,,,,,,,,,
,,72,,,,,,,,,,,,,,,,,
,,73,,,,,,,,,,,,,,,,,
,,74,,,,,,,,,,,,,,,,,
,,75,,,,,,,,,,,,,,,,,
,,76,,,,,,,,,,,,,,,,,
,,77,,,,,,,,,,,,,,,,,
,,78,,,,,,,,,,,,,,,,,
,,79,,,,,,,,,,,,,,,,,
,,80,,,,,,,,,,,,,,,,,
,,81,,,,,,,,,,,,,,,,,
,,82,,,,,,,,,,,,,,,,,
,,83,,,,,,,,,,,,,,,,,
,,84,,,,,,,,,,,,,,,,,
,,85,,,,,,,,,,,,,,,,,
,,86,,,,,,,,,,,,,,,,,
,,87,,,,,,,,,,,,,,,,,
,,88,,,,,,,,,,,,,,,,,
,,89,,,,,,,,,,,,,,,,,
,,90,,,,,,,,,,,,,,,,,
,,91,,,,,,,,,,,,,,,,,
,,92,,,,,,,,,,,,,,,,,
,,93,,,,,,,,,,,,,,,,,
,,94,,,,,,,,,,,,,,,,,
,,95,,,,,,,,,,,,,,,,,
,,96,,,,,,,,,,,,,,,,,
,,97,,,,,,,,,,,,,,,,,
,,98,,,,,,,,,,,,,,,,,
,,99,,,,,,,,,,,,,,,,,
,,100,,,,,,,,,,,,,,,,,
,,101,,,,,,,,,,,,,,,,,
,,102,,,,,,,,,,,,,,,,,
,,103,,,,,,,,,,,,,,,,,
,,104,,,,,,,,,,,,,,,,,
,,105,,,,,,,,,,,,,,,,,
,,106,,,,,,,,,,,,,,,,,
,,107,,,,,,,,,,,,,,,,,
,,108,,,,,,,,,,,,,,,,,
,,109,,,,,,,,,,,,,,,,,
,,110,,,,,,,,,,,,,,,,,
,,111,,,,,,,,,,,,,,,,,
,,112,,,,,,,,,,,,,,,,,
,,113,,,,,,,,,,,,,,,,,
,,114,,,,,,,,,,,,,,,,,
,,115,,,,,,,,,,,,,,,,,
,,116,,,,,,,,,,,,,,,,,
,,117,,,,,,,,,,,,,,,,,
,,118,,,,,,,,,,,,,,,,,
,,119,,,,,,,,,,,,,,,,,
,,120,,,,,,,,,,,,,,,,,
,,121,,,,,,,,,,,,,,,,,
,,122,,,,,,,,,,,,,,,,,
,,123,,,,,,,,,,,,,,,,,
,,124,,,,,,,,,,,,,,,,,
,,125,,,,,,,,,,,,,,,,,
,,126,,,,,,,,,,,,,,,,,
,,127,,,,,,,,,,,,,,,,,
,,128,,,,,,,,,,,,,,,,,
,,129,,,,,,,,,,,,,,,,,
,,130,,,,,,,,,,,,,,,,,
,,131,,,,,,,,,,,,,,,,,
,,132,,,,,,,,,,,,,,,,,
,,133,,,,,,,,,,,,,,,,,
,,134,,,,,,,,,,,,,,,,,
,,135,,,,,,,,,,,,,,,,,
,,136,,,,,,,,,,,,,,,,,
,,137,,,,,,,,,,,,,,,,,
,,138,,,,,,,,,,,,,,,,,
,,139,,,,,,,,,,,,,,,,,
,,140,,,,,,,,,,,,,,,,,
,,141,,,,,,,,,,,,,,,,,
,,142,,,,,,,,,,,,,,,,,
,,143,,,,,,,,,,,,,,,,,
,,144,,,,,,,,,,,,,,,,,
,,145,,,,,,,,,,,,,,,,,
,,146,,,,,,,,,,,,,,,,,
,,147,,,,,,,,,,,,,,,,,
,,148,,,,,,,,,,,,,,,,,
,,149,,,,,,,,,,,,,,,,,
,,150,,,,,,,,,,,,,,,,,
,,151,,,,,,,,,,,,,,,,,
,,152,,,,,,,,,,,,,,,,,
,,153,,,,,,,,,,,,,,,,,
,,154,,,,,,,,,,,,,,,,,
,,155,,,,,,,,,,,,,,,,,
,,156,,,,,,,,,,,,,,,,,
,,157,,,,,,,,,,,,,,,,,
,,158,,,,,,,,,,,,,,,,,
,,159,,,,,,,,,,,,,,,,,
,,160,,,,,,,,,,,,,,,,,
,,161,,,,,,,,,,,,,,,,,
,,162,,,,,,,,,,,,,,,,,
,,163,,,,,,,,,,,,,,,,,
,,164,,,,,,,,,,,,,,,,,
,,165,,,,,,,,,,,,,,,,,
,,166,,,,,,,,,,,,,,,,,
,,167,,,,,,,,,,,,,,,,,
,,168,,,,,,,,,,,,,,,,,
,,169,,,,,,,,,,,,,,,,,
,,170,,,,,,,,,,,,,,,,,
,,171,,,,,,,,,,,,,,,,,
,,172,,,,,,,,,,,,,,,,,
,,173,,,,,,,,,,,,,,,,,
,,174,,,,,,,,,,,,,,,,,
,,175,,,,,,,,,,,,,,,,,
,,176,,,,,,,,,,,,,,,,,
,,177,,,,,,,,,,,,,,,,,
,,178,,,,,,,,,,,,,,,,,
,,179,,,,,,,,,,,,,,,,,
,,180,,,,,,,,,,,,,,,,,
,,181,,,,,,,,,,,,,,,,,
,,182,,,,,,,,,,,,,,,,,
,,183,,,,,,,,,,,,,,,,,
,,184,,,,,,,,,,,,,,,,,
,,185,,,,,,,,,,,,,,,,,
,,186,,,,,,,,,,,,,,,,,
,,187,,,,,,,,,,,,,,,,,
,,188,,,,,,,,,,,,,,,,,
,,189,,,,,,,,,,,,,,,,,
,,190,,,,,,,,,,,,,,,,,
,,191,,,,,,,,,,,,,,,,,
,,192,,,,,,,,,,,,,,,,,
,,193,,,,,,,,,,,,,,,,,
,,194,,,,,,,,,,,,,,,,,
,,195,,,,,,,,,,,,,,,,,
,,196,,,,,,,,,,,,,,,,,
,,197,,,,,,,,,,,,,,,,,
,,198,,,,,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,,,,,
,,200,,,,,,,,,,,,,,,,,
,, $201.00 ,,,,,,,,,,,,,,,,,
,,202,,,,,,,,,,,,,,,,,
,,203,,,,,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,,,,,
